0.004	0.005
0.010	0.005
0.022	0.005
0.033	0.005
0.039	0.005
0.051	0.005
0.063	0.006
0.075	0.006
0.081	0.005
0.092	0.005
0.098	0.006
0.110	0.006
0.122	0.004
0.133	0.005
0.139	0.005
0.150	0.006
0.162	0.005
0.168	0.005
0.180	0.005
0.191	0.005
0.197	0.005
0.208	0.005
0.220	0.005
0.226	0.005
0.237	0.006
0.249	0.005
0.261	0.007
0.267	0.006
0.279	0.005
0.291	0.004
0.297	0.006
0.308	0.004
0.320	0.004
0.332	0.005
0.338	0.006
0.350	0.006
0.362	0.005
0.368	0.005
0.379	0.005
0.391	0.005
0.397	0.006
0.408	0.005
0.420	0.004
0.432	0.006
0.438	0.005
0.450	0.005
0.462	0.005
0.467	0.005
0.479	0.006
0.491	0.005
0.502	0.005
0.508	0.005
0.520	0.006
0.532	0.007
0.538	0.006
0.550	0.008
0.562	0.010
0.573	0.012
0.579	0.014
0.590	0.019
0.602	0.027
0.607	0.032
0.618	0.045
0.629	0.065
0.639	0.094
0.644	0.112
0.653	0.159
0.662	0.219
0.677	0.380
0.683	0.481
0.689	0.597
0.697	0.793
0.707	1.163
0.719	1.742
0.728	2.383
0.736	3.146
0.746	4.337
0.755	5.856
0.765	7.811
0.775	10.232